wals_code,iso_code,glottocode,Name,latitude,longitude,genus,family,macroarea,"100A Alignment of Verbal Person Marking","101A Expression of Pronominal Subjects","102A Verbal Person Marking","103A Third Person Zero of Verbal Person Marking","104A Order of Person Markers on the Verb","105A Ditransitive Constructions: The Verb ""Give""","106A Reciprocal Constructions","107A Passive Constructions","108A Antipassive Constructions","108B Productivity of the Antipassive Construction","109A Applicative Constructions","109B Other Roles of Applied Objects","10A Vowel Nasalization","10B Nasal Vowels in West Africa","110A Periphrastic Causative Constructions","111A Nonperiphrastic Causative Constructions","112A Negative Morphemes","113A Symmetric and Asymmetric Standard Negation","114A Subtypes of Asymmetric Standard Negation","115A Negative Indefinite Pronouns and Predicate Negation","116A Polar Questions","117A Predicative Possession","118A Predicative Adjectives","119A Nominal and Locational Predication","11A Front Rounded Vowels","120A Zero Copula for Predicate Nominals","121A Comparative Constructions","122A Relativization on Subjects","123A Relativization on Obliques","124A ""Want"" Complement Subjects","125A Purpose Clauses","126A ""When"" Clauses","127A Reason Clauses","128A Utterance Complement Clauses","129A Hand and Arm","12A Syllable Structure","130A Finger and Hand","130B Cultural Categories of Languages with Identity of ""Finger"" and ""Hand""","131A Numeral Bases","132A Number of Non-Derived Basic Colour Categories","133A Number of Basic Colour Categories","134A Green and Blue","135A Red and Yellow","136A M-T Pronouns","136B M in First Person Singular","137A N-M Pronouns","137B M in Second Person Singular","138A Tea","139A Irregular Negatives in Sign Languages","13A Tone","140A Question Particles in Sign Languages","141A Writing Systems","142A Para-Linguistic Usages of Clicks","143A Order of Negative Morpheme and Verb","143B Obligatory Double Negation","143C Optional Double Negation","143D Optional Triple Negation","143E Preverbal Negative Morphemes","143F Postverbal Negative Morphemes","143G Minor morphological means of signaling negation","144A Position of Negative Word With Respect to Subject, Object, and Verb","144B Position of negative words relative to beginning and end of clause and with respect to adjacency to verb","144C Languages with different word order in negative clauses","144D The Position of Negative Morphemes in SVO Languages","144E Multiple Negative Constructions in SVO Languages","144F Obligatory Double Negation in SVO languages","144G Optional Double Negation in SVO languages","144H NegSVO Order","144I SNegVO Order","144J SVNegO Order","144K SVONeg Order","144L The Position of Negative Morphemes in SOV Languages","144M Multiple Negative Constructions in SOV Languages","144N Obligatory Double Negation in SOV languages","144O Optional Double Negation in SOV languages","144P NegSOV Order","144Q SNegOV Order","144R SONegV Order","144S SOVNeg Order","144T The Position of Negative Morphemes in Verb-Initial Languages","144U Double negation in verb-initial languages","144V Verb-Initial with Preverbal Negative","144W Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object","144X Verb-Initial with Clause-Final Negative","144Y The Position of Negative Morphemes in Object-Initial Languages","14A Fixed Stress Locations","15A Weight-Sensitive Stress","16A Weight Factors in Weight-Sensitive Stress Systems","17A Rhythm Types","18A Absence of Common Consonants","19A Presence of Uncommon Consonants","1A Consonant Inventories","20A Fusion of Selected Inflectional Formatives","21A Exponence of Selected Inflectional Formatives","21B Exponence of Tense-Aspect-Mood Inflection","22A Inflectional Synthesis of the Verb","23A Locus of Marking in the Clause","24A Locus of Marking in Possessive Noun Phrases","25A Locus of Marking: Whole-language Typology","25B Zero Marking of A and P Arguments","26A Prefixing vs. Suffixing in Inflectional Morphology","27A Reduplication","28A Case Syncretism","29A Syncretism in Verbal Person/Number Marking","2A Vowel Quality Inventories","30A Number of Genders","31A Sex-based and Non-sex-based Gender Systems","32A Systems of Gender Assignment","33A Coding of Nominal Plurality","34A Occurrence of Nominal Plurality","35A Plurality in Independent Personal Pronouns","36A The Associative Plural","37A Definite Articles","38A Indefinite Articles","39A Inclusive/Exclusive Distinction in Independent Pronouns","39B Inclusive/Exclusive Forms in Pama-Nyungan","3A Consonant-Vowel Ratio","40A Inclusive/Exclusive Distinction in Verbal Inflection","41A Distance Contrasts in Demonstratives","42A Pronominal and Adnominal Demonstratives","43A Third Person Pronouns and Demonstratives","44A Gender Distinctions in Independent Personal Pronouns","45A Politeness Distinctions in Pronouns","46A Indefinite Pronouns","47A Intensifiers and Reflexive Pronouns","48A Person Marking on Adpositions","49A Number of Cases","4A Voicing in Plosives and Fricatives","50A Asymmetrical Case-Marking","51A Position of Case Affixes","52A Comitatives and Instrumentals","53A Ordinal Numerals","54A Distributive Numerals","55A Numeral Classifiers","56A Conjunctions and Universal Quantifiers","57A Position of Pronominal Possessive Affixes","58A Obligatory Possessive Inflection","58B Number of Possessive Nouns","59A Possessive Classification","5A Voicing and Gaps in Plosive Systems","60A Genitives, Adjectives and Relative Clauses","61A Adjectives without Nouns","62A Action Nominal Constructions","63A Noun Phrase Conjunction","64A Nominal and Verbal Conjunction","65A Perfective/Imperfective Aspect","66A The Past Tense","67A The Future Tense","68A The Perfect","69A Position of Tense-Aspect Affixes","6A Uvular Consonants","70A The Morphological Imperative","71A The Prohibitive","72A Imperative-Hortative Systems","73A The Optative","74A Situational Possibility","75A Epistemic Possibility","76A Overlap between Situational and Epistemic Modal Marking","77A Semantic Distinctions of Evidentiality","78A Coding of Evidentiality","79A Suppletion According to Tense and Aspect","79B Suppletion in Imperatives and Hortatives","7A Glottalized Consonants","80A Verbal Number and Suppletion","81A Order of Subject, Object and Verb","81B Languages with two Dominant Orders of Subject, Object, and Verb","82A Order of Subject and Verb","83A Order of Object and Verb","84A Order of Object, Oblique, and Verb","85A Order of Adposition and Noun Phrase","86A Order of Genitive and Noun","87A Order of Adjective and Noun","88A Order of Demonstrative and Noun","89A Order of Numeral and Noun","8A Lateral Consonants","90A Order of Relative Clause and Noun","90B Prenominal relative clauses","90C Postnominal relative clauses","90D Internally-headed relative clauses","90E Correlative relative clauses","90F Adjoined relative clauses","90G Double-headed relative clauses","91A Order of Degree Word and Adjective","92A Position of Polar Question Particles","93A Position of Interrogative Phrases in Content Questions","94A Order of Adverbial Subordinator and Clause","95A Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase","96A Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun","97A Relationship between the Order of Object and Verb and the Order of Adjective and Noun","98A Alignment of Case Marking of Full Noun Phrases","99A Alignment of Case Marking of Pronouns","9A The Velar Nasal"
aab,,,"Arapesh (Abu)",-3.45,142.95,Kombio-Arapesh,Torricelli,,,,,,,,,,,,,,,,,,"2 Negative particle",,,,"1 Question particle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 VNeg",,,,"4 None","1 VNeg","4 None","4 SVONeg","6 End, not immed postverbal",,"4 SVONeg",,,,"4 No NegSVO","8 No SNegVO","7 No SVNegO","1 NoDoubleNeg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 SVO",,"1 SV","2 VO",,,,"2 Noun-Adjective","2 Noun-Demonstrative","2 Noun-Numeral",,,,,,,,,,"2 Final","2 Not initial interrogative phrase",,,,"4 VO and NAdj",,,
aar,aiw,aari1239,Aari,6.0,36.5833333333,"South Omotic",Afro-Asiatic,,,"2 Subject affixes on verb",,,,,,,,,,,,,,,"1 Negative affix",,,,"2 Interrogative verb morphology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 [V-Neg]",,,,"4 None","2 [V-Neg]","4 None","20 MorphNeg",,,,,,,,,,,"21 SV&OV&[V-Neg]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 Strongly suffixing",,,,,,,,"9 No plural",,,,"3 Definite affix","4 No indefinite, but definite article",,,,,,,,,,,,,,,,"1 Case suffixes",,,,,,"4 No possessive affixes",,,,,,,,,,,,,,"2 Tense-aspect suffixes",,,,,,,,,,,,,,,,,"1 SV","1 OV",,"1 Postpositions","1 Genitive-Noun","2 Noun-Adjective","2 Noun-Demonstrative","2 Noun-Numeral",,"1 Noun-Relative clause",,"1 Noun-Relative clause (NRel) dominant",,,,,,"6 No question particle",,,"1 OV and Postpositions","2 OV and NRel","2 OV and NAdj",,,
aba,aau,abau1245,Abau,-4.0,141.25,"Upper Sepik",Sepik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 VNeg",,,,"4 None","1 VNeg","4 None","8 SOVNeg","4 Immed postverbal",,,,,,,,,,"4 SOVNeg",,,,"4 No NegSOV","4 No SNegOV","8 No SONegV","1 Word&NoDoubleNeg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 SOV",,"1 SV","1 OV",,"1 Postpositions","1 Genitive-Noun",,"2 Noun-Demonstrative","2 Noun-Numeral",,,,,,,,,,,,,"1 OV and Postpositions",,,,,
abb,shu,chad1249,"Arabic (Chadian)",13.8333333333,20.8333333333,Semitic,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Second singular and second plural","3 Special imperative + normal negative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abd,abi,abid1235,Abidji,5.66666666667,-4.58333333333,Kwa,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 3.5","2 4.5-5.5","2 Green/blue","2 Red/yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abe,apc,nort3139,"Arabic (Beirut)",33.9166666667,35.5,Semitic,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 No fixed stress","4 Right-oriented: One of the last three","4 Long vowel or coda consonant","1 Trochaic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abh,abv,baha1259,"Arabic (Bahrain)",26.0,50.5,Semitic,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Logical meanings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abi,axb,abip1241,"Abipón",-29.0,-61.0,"South Guaicuruan",Guaicuruan,,"2 Accusative",,"5 Both the A and P arguments","3 Zero in some 3sg forms","2 A precedes P",,,"2 Absent",,,,,"2 Contrast absent",,,"2 Morphological but no compound","2 Negative particle","3 Both","3 A/Cat",,,,,,"1 None",,"3 Conjoined",,,,,,,,"2 Different","3 Complex","2 Different",,,,,,,,,,,,,,,,,"1 NegV",,,,"1 NegV","4 None","4 None","21 Other",,,"11 Other NegV",,,,,,"7 No SVNegO","4 No SVONeg",,,,,,,,,,,,,,,,,,,"1 All present","1 None","2 Moderately small","1 Exclusively concatenative","5 No case","1 monoexponential TAM",,,,,,"2 Strongly suffixing",,"1 No case marking","2 Syncretic","2 Average (5-6)",,,,"2 Plural suffix",,"4 Person-number stem",,,,"3 No inclusive/exclusive",,"3 Average","2 'We' the same as 'I'",,,,"6 No gender distinctions",,,,"2 No person marking","1 No morphological case-marking","1 No voicing contrast","1 No case-marking","9 No case affixes or adpositional clitics",,,,,,"3 Prefixes and suffixes",,,,"1 Other",,,,,,"2 No grammatical marking","4 No past tense","2 No inflectional future","4 No perfect","2 Tense-aspect suffixes","4 Uvular stops and continuants",,,,,,,,"1 No grammatical evidentials","1 No grammatical evidentials",,,"1 No glottalized consonants",,"2 SVO",,"1 SV","2 VO","1 VOX","2 Prepositions","3 No dominant order","3 No dominant order","1 Demonstrative-Noun",,"2 /l/, no obstruent laterals","1 Noun-Relative clause",,"1 Noun-Relative clause (NRel) dominant",,,,,"1 Degree word-Adjective",,"1 Initial interrogative phrase","1 Initial subordinator word","4 VO and Prepositions","4 VO and NRel","5 Other","1 Neutral","1 Neutral","3 No velar nasal"
abk,abk,abkh1244,Abkhaz,43.0833333333,41.0,"Northwest Caucasian","Northwest Caucasian",,"3 Ergative","2 Subject affixes on verb","5 Both the A and P arguments","2 No zero realization","3 P precedes A","1 Indirect-object construction","2 Distinct from reflexive","2 Absent","3 No antipassive","4 no antipassive","4 Benefactive and other; only transitive","1 Instrument","2 Contrast absent",,"2 Purposive but no sequential","2 Morphological but no compound","1 Negative affix","3 Both","3 A/Cat","1 Predicate negation also present","2 Interrogative verb morphology","5 'Have'","1 Verbal encoding","1 Different","1 None","1 Impossible",,"4 Gap","4 Gap","2 Subject is expressed overtly","2 Balanced/deranked","3 Deranked","3 Deranked","2 Balanced/deranked","2 Different","3 Complex","2 Different",,"2 Hybrid vigesimal-decimal",,,,,"1 No M-T pronouns","1 No m in first person singular","1 No N-M pronouns","2 m in second person singular",,,"1 No tones",,,,"11 Type 3 / Type 4",,,,"2 [Neg-V]","2 [V-Neg]","4 None","20 MorphNeg",,,,,,,,,,,"15 More than one construction","6 SO[Neg-V]/SO[V-Neg]",,,"4 No NegSOV","4 No SNegOV","2 Prefix&NoDoubleNeg","2 Suffix&NoDoubleNeg",,,,,,,"1 No fixed stress","7 Not predictable","6 Lexical stress",,"1 All present","4 Pharyngeals","5 Large","1 Exclusively concatenative","5 No case","1 monoexponential TAM","6 10-11 categories per word","1 Head marking","1 Head marking","1 Head-marking","2 Non-zero marking","4 Equal prefixing and suffixing","1 Productive full and partial reduplication","1 No case marking","3 Not syncretic","1 Small (2-4)","3 Three","2 Sex-based","2 Semantic","2 Plural suffix","6 All nouns, always obligatory","4 Person-number stem","2 Unique affixal associative plural","1 Definite word distinct from demonstrative","2 Indefinite word same as 'one'","5 Inclusive/exclusive",,"5 High","3 No inclusive/exclusive","2 Two-way contrast","1 Identical",,"1 In 3rd person + 1st and/or 2nd person",,"3 Special","2 Differentiated","4 Pronouns and nouns","2 2 cases","4 In both plosives and fricatives","2 Symmetrical","9 No case affixes or adpositional clitics","2 Differentiation","5 First/one-th, two-th, three-th","7 Marked by mixed or other strategies","1 Absent",,"1 Possessive prefixes","2 Absent","1 None reported","1 No possessive classification","2 None missing in /p t k b d g/","6 Highly differentiated","2 Without marking","3 Ergative-Possessive","1 'And' different from 'with'","1 Identity","1 Grammatical marking","1 Present, no remoteness distinctions","1 Inflectional future exists","3 Other perfect","2 Tense-aspect suffixes","2 Uvular stops only","1 Second singular and second plural","3 Special imperative + normal negative","4 Neither type of system","1 Inflectional optative present","2 Verbal constructions","1 Verbal constructions","2 Overlap for either possibility or necessity","2 Indirect only","2 Verbal affix or clitic","1 Tense","5 None (= no suppletive imperatives reported in the reference material)","2 Ejectives only","1 None","1 SOV",,"1 SV","1 OV","3 XOV","1 Postpositions","1 Genitive-Noun","2 Noun-Adjective","1 Demonstrative-Noun","3 No dominant order","2 /l/, no obstruent laterals","2 Relative clause-Noun","1 Relative clause-Noun (RelN) dominant",,,,,,"1 Degree word-Adjective","6 No question particle","2 Not initial interrogative phrase","4 Subordinating suffix","1 OV and Postpositions","1 OV and RelN","2 OV and NAdj","1 Neutral","1 Neutral","3 No velar nasal"
abm,akz,alab1237,Alabama,32.3333333333,-87.4166666667,Muskogean,Muskogean,,,,,,,,,,,,,,,,,,,,,,,"1 Locational","1 Verbal encoding","1 Different","1 None","2 Possible",,,,,,,,,"2 Different",,"2 Different",,"1 Decimal",,,,,,,,,"3 Others",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 All present","1 None","1 Small",,,,,,,,,,"1 Productive full and partial reduplication",,,"1 Small (2-4)",,,,,,,,,,,,"4 Moderately high",,,,,,,"1 Interrogative-based",,,,"2 In plosives alone",,,,,,,,,,,,"1 Other",,,,"1 'And' different from 'with'",,,,,,,"1 None",,,,,,,,"2 Indirect only","2 Verbal affix or clitic",,,"1 No glottalized consonants",,,,,,,,,,,,"4 /l/ and lateral obstruent",,,,,,,,,,,,,,,,,"3 No velar nasal"
